TERM,SUBJECT,NBR,COURSE NAME,SECTION,PROF,TOTAL,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,F,W,INC/NA,AVG GPA
FA24,CSCI,111,Intro Algorithmic Problem Solv,211,"AKINLAR, C",154,3,11,12,11,11,7,12,13,0,0,0,28,46,0,2.243
FA24,CSCI,111,Intro Algorithmic Problem Solv,221,"AKINLAR, C",141,3,12,11,3,10,13,10,11,0,0,0,28,40,0,2.185
FA24,CSCI,111,Intro Algorithmic Problem Solv,131,"CHYN, X",104,1,6,4,6,4,5,3,11,5,0,5,16,38,0,1.977
FA24,CSCI,111,Intro Algorithmic Problem Solv,111,"CHYN, X",184,3,9,3,7,11,8,6,14,18,0,11,37,57,0,1.734
FA24,CSCI,112,Intro Algori Prob Solving Java,221,"CONNOR, T",13,2,4,1,2,2,0,2,0,0,0,0,0,0,0,3.454
FA24,CSCI,12,Intro Computers & Computation,711,"HUANG, X",31,5,4,3,4,2,2,1,2,2,0,0,0,6,0,3.256
FA24,CSCI,211,Object-Oriented Program in C++,111,"WAXMAN, J",197,44,18,15,16,21,9,9,13,0,3,6,21,22,0,2.858
FA24,CSCI,211,Object-Oriented Program in C++,121,"WAXMAN, J",108,12,13,4,5,9,5,4,16,0,0,12,16,10,2,2.344
FA24,CSCI,211,Object-Oriented Program in C++,231,"ALAYEV, Y",19,0,0,0,1,0,0,0,2,0,0,1,3,11,1,1.186
FA24,CSCI,212,Object-Oriented Prog in Java,121,"LORD, K",154,2,10,18,8,18,15,10,17,7,6,6,17,20,0,2.375
FA24,CSCI,212,Object-Oriented Prog in Java,111,"LORD, K",159,4,6,11,7,11,10,9,22,3,13,13,26,24,0,1.952
FA24,CSCI,212,Object-Oriented Prog in Java,231,"STEINBERG, O",94,0,6,5,2,4,4,8,3,1,1,3,20,34,3,1.795
FA24,CSCI,220,Discrete Structures,133,"GOLDBERG, R",35,0,7,6,2,4,2,5,3,0,0,0,1,5,0,3.057
FA24,CSCI,220,Discrete Structures,111,"GOLDBERG, R",34,0,5,4,4,5,5,2,7,0,0,0,1,1,0,2.882
FA24,CSCI,220,Discrete Structures,221,"CESARETTI, P",34,0,5,1,2,6,6,3,3,0,0,0,4,4,0,2.58
FA24,CSCI,220,Discrete Structures,222,"CESARETTI, P",34,0,4,3,2,4,2,3,9,0,0,0,6,1,0,2.303
FA24,CSCI,220,Discrete Structures,132,"KONG, T",34,3,4,2,1,2,4,2,3,0,0,1,10,2,0,2.097
FA24,CSCI,220,Discrete Structures,223,"STEINBERG, O",32,6,0,1,0,5,1,1,4,0,0,0,11,3,0,1.921
FA24,CSCI,220,Discrete Structures,131,"KONG, T",19,0,1,1,1,0,2,3,0,0,0,0,6,5,0,1.664
FA24,CSCI,240,Computer Org & Assembly Lang,131,"YEH, J",55,1,11,8,11,6,4,3,6,0,0,0,2,3,0,3.108
FA24,CSCI,240,Computer Org & Assembly Lang,231,"YEH, J",55,1,12,5,9,6,7,2,3,0,0,0,6,4,0,2.896
FA24,CSCI,240,Computer Org & Assembly Lang,232,"YEH, J",53,0,4,9,10,7,4,2,7,0,0,0,6,4,0,2.708
FA24,CSCI,240,Computer Org & Assembly Lang,132,"BACI, N",40,1,3,0,6,5,0,4,6,3,0,0,2,10,0,2.57
FA24,CSCI,240,Computer Org & Assembly Lang,221,"BACI, N",39,0,3,0,5,7,0,5,8,1,0,0,6,4,0,2.249
FA24,CSCI,240,Computer Org & Assembly Lang,211,"BACI, N",37,0,4,0,3,4,0,4,8,1,0,0,5,8,0,2.234
FA24,CSCI,240,Computer Org & Assembly Lang,111,"FLUTURE, S",45,4,2,0,2,3,2,4,1,0,0,2,7,18,0,2.156
FA24,CSCI,313,Data Structures,131,"CESARETTI, P",35,0,4,3,3,1,8,1,5,0,0,0,4,6,0,2.548
